98	中国文化通论	2	星期四	8	9	分布式	0
99	大学语文	2	星期五	6	7	分布式	0
100	行为金融与投资心理	2	星期五	6	8	分布式	0
101	大学与学生发展	1	星期一	11	13	分布式	0
102	欧美教育传统与当代变革	1	星期三	11	13	分布式	0
103	大数据与人文社科	2	星期一	11	13	分布式	0
104	当代国际问题的跨学科解读	2	星期一	11	13	分布式	0
105	中国民俗	2	星期五	6	8	分布式	0
106	学术阅读反思和写作	2	星期一	11	14	分布式	0
107	国学经典导读	2	星期一	11	14	分布式	0
108	俄苏艺术、文学精品赏析	2	星期五	6	7	分布式	0
109	书法技法的分析与训练	2	星期五	11	13	分布式	0
110	隶书技法训练与欣赏	2	星期五	6	7	分布式	0
111	行书技法训练	1	星期三	11	13	分布式	0
112	品牌设计赏析	2	星期五	6	9	分布式	0
113	短视频创作	2	星期五	6	8	分布式	0
114	艺术鉴赏与西方美学	1	星期一	11	14	分布式	0
115	围棋	2	星期五	8	9	分布式	0
116	中国画写意花卉课程	2	星期五	8	9	分布式	0
117	中国工笔花鸟画基础	2	星期五	6	7	分布式	0
118	中国篆刻艺术	2	星期五	8	10	分布式	0
119	智能教育	2	星期五	6	8	分布式	0
120	教师领导力	1	星期一	11	13	分布式	0
121	教育法典型案例评析	2	星期一	11	13	分布式	0
122	校园冲突与冲突解决	2	星期三	11	13	分布式	0
123	班级管理	1	星期三	11	13	分布式	0
124	爱情心理学	2	星期一	6	7	分布式	0
125	心理健康教育	1	星期五	8	10	分布式	0
126	行动体验式心理健康教育	1	星期五	6	8	分布式	0
127	学校安全教育	1	星期五	6	8	分布式	0
128	亲密关系	1	星期五	8	9	分布式	0
129	面向对象程序设计基于C++	5	星期一	11	14	学科基础课	0
130	计算机教育导论	2	星期二	1	2	学科基础课	0
131	教育原理	2	星期一	8	9	学科基础课	0
132	数据结构与算法	3	星期三，星期四	3	4	学科基础课	129
133	计算机系统	3	星期二，星期四	8	10	学科基础课	132
134	教育技术研究方法	2	星期二，星期四	6	8	学科基础课	133
135	高等数学A（一）	5	星期一，星期三，星期五	1	2	数理基础基础课	0
136	高等数学A（二）	5	星期一，星期三，星期四	1	2	数理基础基础课	135
137	线性代数A	3	星期二，星期四	3	4	数理基础基础课	136
138	大学物理C	4	星期四，星期五	1	2	数理基础基础课	136
139	离散数学	3	星期一	1	3	数理基础基础课	136
140	概率论与数理统计A	3	星期一	8	10	数理基础基础课	138
141	计算机网络与工程	3	星期一	1	2	专业必修	137
142	学习技术系统设计与开发	3	星期一	6	9	专业必修	0
143	学习科学与技术	2	星期二	3	4	专业必修	137
144	校园网建设与管理	3	星期二	11	13	专业必修	133
145	数据库系统原理与教育应用实践	3	星期二	8	10	专业必修	134
146	人工智能与教育应用实践	3	星期二	3	5	专业必修	135
147	信息技术教学方法研究	3	星期一	1	2	专业必修	135
148	量化推理与教育统计	2	星期二	3	4	专业必修	0
149	教育统计	3	星期一	11	14	专业必修	137
150	教育心理学	2	星期三	1	2	专业必修	0
151	教育心理学	2	星期四	1	2	专业必修	0
152	教育心理学	2	星期五	3	4	专业必修	0
153	教育心理学	3	星期一	6	8	专业必修	0
154	信息化环境下的教学设计	2	星期四	11	14	专业必修	0
155	STEM教育	3	星期三	3	4	专业必修	0
156	嵌入式系统原理与实践	4	星期一	6	7	专业必修	0
157	嵌入式系统原理与实践	4	星期二	1	2	专业必修	0
158	嵌入式系统原理与实践	3	星期四	6	9	专业必修	0
159	R语言入门及教育统计应用	1	星期一	3	4	专业任意选修	0
